match_id,opportunity_id,company_id,company_name,vendor_id,vendor_name,match_type,delivery_feasibility,match_score,match_status,term_status,rationale,next_action
M013,O005,C006,百度,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"百度 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M014,O005,C006,百度,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"百度 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M015,O005,C006,百度,V002,北森,adjacent,medium,67,pending,needs_confirmation,"百度 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M016,O006,C008,网易,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"网易 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M017,O006,C008,网易,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"网易 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M018,O006,C008,网易,V002,北森,adjacent,medium,67,pending,needs_confirmation,"网易 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M019,O007,C010,中国联通,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"中国联通 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M020,O007,C010,中国联通,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"中国联通 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M021,O007,C010,中国联通,V002,北森,adjacent,medium,67,pending,needs_confirmation,"中国联通 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M022,O008,C014,完美世界,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"完美世界 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M023,O008,C014,完美世界,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"完美世界 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M024,O008,C014,完美世界,V002,北森,adjacent,medium,67,pending,needs_confirmation,"完美世界 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M025,O009,C015,金山办公,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"金山办公 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M026,O009,C015,金山办公,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"金山办公 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M027,O009,C015,金山办公,V002,北森,adjacent,medium,67,pending,needs_confirmation,"金山办公 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M028,O010,C016,润和软件,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"润和软件 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M029,O010,C016,润和软件,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"润和软件 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M030,O010,C016,润和软件,V002,北森,adjacent,medium,67,pending,needs_confirmation,"润和软件 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M031,O011,C019,指南针,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"指南针 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M032,O011,C019,指南针,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"指南针 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M033,O011,C019,指南针,V002,北森,adjacent,medium,67,pending,needs_confirmation,"指南针 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M034,O012,C020,昆仑万维,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"昆仑万维 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M035,O012,C020,昆仑万维,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"昆仑万维 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M036,O012,C020,昆仑万维,V002,北森,adjacent,medium,67,pending,needs_confirmation,"昆仑万维 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M037,O013,C021,恺英网络,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"恺英网络 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M038,O013,C021,恺英网络,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"恺英网络 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M039,O013,C021,恺英网络,V002,北森,adjacent,medium,67,pending,needs_confirmation,"恺英网络 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M040,O014,C022,利欧股份,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"利欧股份 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M041,O014,C022,利欧股份,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"利欧股份 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M042,O014,C022,利欧股份,V002,北森,adjacent,medium,67,pending,needs_confirmation,"利欧股份 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M043,O015,C025,中国电信,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"中国电信 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M044,O015,C025,中国电信,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"中国电信 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M045,O015,C025,中国电信,V002,北森,adjacent,medium,67,pending,needs_confirmation,"中国电信 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M046,O016,C026,神州数码,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"神州数码 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M047,O016,C026,神州数码,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"神州数码 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M048,O016,C026,神州数码,V002,北森,adjacent,medium,67,pending,needs_confirmation,"神州数码 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M049,O017,C028,巨人网络,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"巨人网络 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M050,O017,C028,巨人网络,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"巨人网络 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M051,O017,C028,巨人网络,V002,北森,adjacent,medium,67,pending,needs_confirmation,"巨人网络 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M052,O018,C032,中国移动,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"中国移动 (internet_software, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M053,O018,C032,中国移动,V007,BambooHR,direct,medium,72,pending,needs_confirmation,"中国移动 (internet_software, enterprise_group) requires ats|recruiting|analytics. BambooHR covers ats|recruiting and has public evidence for internet_software|consumer_retail. Delivery is medium because the core modules fit, but deployment specifics still need validation. This is a direct match scored 72/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",monitor
M054,O018,C032,中国移动,V002,北森,adjacent,medium,67,pending,needs_confirmation,"中国移动 (internet_software, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is medium because the recruiting stack is strong, but sector-specific proof still needs validation. This is a adjacent match scored 67/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",validate_industry_fit
M055,O019,C033,华为,V002,北森,direct,high,100,ready_to_contact,needs_confirmation,"华为 (advanced_manufacturing, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M056,O019,C033,华为,V001,i人事,direct,high,100,ready_to_contact,needs_confirmation,"华为 (advanced_manufacturing, enterprise_group) requires ats|recruiting|analytics. i人事 covers analytics|ats|recruiting and has public evidence for consumer_retail|advanced_manufacturing|logistics_mobility. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M057,O019,C033,华为,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"华为 (advanced_manufacturing, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M058,O020,C034,吉利控股,V002,北森,direct,high,100,ready_to_contact,needs_confirmation,"吉利控股 (advanced_manufacturing, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M059,O020,C034,吉利控股,V001,i人事,direct,high,100,ready_to_contact,needs_confirmation,"吉利控股 (advanced_manufacturing, enterprise_group) requires ats|recruiting|analytics. i人事 covers analytics|ats|recruiting and has public evidence for consumer_retail|advanced_manufacturing|logistics_mobility. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M060,O020,C034,吉利控股,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"吉利控股 (advanced_manufacturing, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M061,O021,C037,宁德时代,V002,北森,direct,high,100,ready_to_contact,needs_confirmation,"宁德时代 (advanced_manufacturing, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M062,O021,C037,宁德时代,V001,i人事,direct,high,100,ready_to_contact,needs_confirmation,"宁德时代 (advanced_manufacturing, enterprise_group) requires ats|recruiting|analytics. i人事 covers analytics|ats|recruiting and has public evidence for consumer_retail|advanced_manufacturing|logistics_mobility. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M063,O021,C037,宁德时代,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"宁德时代 (advanced_manufacturing, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M064,O022,C038,小米,V002,北森,direct,high,100,ready_to_contact,needs_confirmation,"小米 (advanced_manufacturing, enterprise_group) requires ats|recruiting|analytics. 北森 covers analytics|ats|recruiting and has public evidence for advanced_manufacturing|consumer_retail|logistics_mobility|finance. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M065,O022,C038,小米,V001,i人事,direct,high,100,ready_to_contact,needs_confirmation,"小米 (advanced_manufacturing, enterprise_group) requires ats|recruiting|analytics. i人事 covers analytics|ats|recruiting and has public evidence for consumer_retail|advanced_manufacturing|logistics_mobility. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
M066,O022,C038,小米,V005,用友大易,direct,high,100,ready_to_contact,needs_confirmation,"小米 (advanced_manufacturing, enterprise_group) requires ats|recruiting|analytics. 用友大易 covers analytics|ats|recruiting and has public evidence for internet_software|advanced_manufacturing|consumer_retail. Delivery is high because its public evidence covers this sector pattern at enterprise scale with the required recruiting modules. This is a direct match scored 100/100; term status remains needs_confirmation, so commercial terms must be requested directly from the vendor or partner team.",identify_contact
